population total_snps f_miss filtered_snps
bal 2661404 0.1 124210
bal 2661404 0.15 124210
bal 2661404 0.2 28313
bal 2661404 0.25 28313
bal 2661404 0.3 7233
cau 2661404 0.1 153338
cau 2661404 0.15 153338
cau 2661404 0.2 30407
cau 2661404 0.25 30407
cau 2661404 0.3 7703
crp 2661404 0.1 663073
crp 2661404 0.15 139792
crp 2661404 0.2 139792
crp 2661404 0.25 139792
crp 2661404 0.3 26737
kir 2661404 0.1 428151
kir 2661404 0.15 428151
kir 2661404 0.2 138822
kir 2661404 0.25 41982
kir 2661404 0.3 41982
nor 2661404 0.1 788050
nor 2661404 0.15 226624
nor 2661404 0.2 226624
nor 2661404 0.25 53965
nor 2661404 0.3 53965
pol 2661404 0.1 821142
pol 2661404 0.15 218175
pol 2661404 0.2 218175
pol 2661404 0.25 52214
pol 2661404 0.3 52214
