population total_snps f_miss filtered_snps
bal 3757500 0.1 51080
bal 3757500 0.15 14570
bal 3757500 0.2 14570
bal 3757500 0.25 14570
bal 3757500 0.3 7749
cau 3757500 0.1 32649
cau 3757500 0.15 32649
cau 3757500 0.2 16296
cau 3757500 0.25 9949
cau 3757500 0.3 9949
crp 3757500 0.1 473731
crp 3757500 0.15 66531
crp 3757500 0.2 66531
crp 3757500 0.25 66531
crp 3757500 0.3 14214
lva 3757500 0.1 720486
lva 3757500 0.15 117697
lva 3757500 0.2 117697
lva 3757500 0.25 117697
lva 3757500 0.3 21957
nor 3757500 0.1 813368
nor 3757500 0.15 212459
nor 3757500 0.2 212459
nor 3757500 0.25 49558
nor 3757500 0.3 49558
pol 3757500 0.1 897569
pol 3757500 0.15 211256
pol 3757500 0.2 211256
pol 3757500 0.25 50058
pol 3757500 0.3 50058
tva 3757500 0.1 693660
tva 3757500 0.15 113277
tva 3757500 0.2 113277
tva 3757500 0.25 113277
tva 3757500 0.3 22087
mng 3757500 0.1 1065048
mng 3757500 0.15 259478
mng 3757500 0.2 259478
mng 3757500 0.25 62336
mng 3757500 0.3 62336
wru 3757500 0.1 179971
wru 3757500 0.15 68567
wru 3757500 0.2 30308
wru 3757500 0.25 15887
wru 3757500 0.3 9330
yak 3757500 0.1 786006
yak 3757500 0.15 148623
yak 3757500 0.2 148623
yak 3757500 0.25 34880
yak 3757500 0.3 34880
pyk 3757500 0.1 131012
pyk 3757500 0.15 131012
pyk 3757500 0.2 30162
pyk 3757500 0.25 30162
pyk 3757500 0.3 10175
