# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LYLY1_2A000002	LYLY1_2A000002	LYLY1_2A000002T2	protein_coding	0	0	0	5	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000005	LYLY1_2A000005	LYLY1_2A000005T2	protein_coding	0	0	0	19	0	0	2	3	0	4	0	0	0	0	0	0	0	0	0	10
LYLY1_2A000006	LYLY1_2A000006	LYLY1_2A000006T1	protein_coding	0	1	2	5	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	1
LYLY1_2A000009	LYLY1_2A000009	LYLY1_2A000009T2	protein_coding	0	5	3	292	1	0	0	17	0	261	3	0	0	0	0	0	0	0	5	13
LYLY1_2A000010	LYLY1_2A000010	LYLY1_2A000010T1	protein_coding	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13
LYLY1_2A000011	LYLY1_2A000011	LYLY1_2A000011T1	protein_coding	0	1	0	110	1	0	1	12	0	89	0	0	0	0	0	0	0	0	1	7
LYLY1_2A000014	LYLY1_2A000014	LYLY1_2A000014T1	protein_coding	0	0	1	96	0	0	0	8	0	76	1	0	0	0	0	0	0	0	0	12
LYLY1_2A000019	LYLY1_2A000019	LYLY1_2A000019T4	protein_coding	0	2	0	36	0	0	0	10	0	14	0	0	0	0	0	0	0	0	2	12
LYLY1_2A000020	LYLY1_2A000020	LYLY1_2A000020T1	protein_coding	0	0	3	44	0	0	0	15	0	0	3	0	0	0	0	0	0	0	0	29
LYLY1_2A000021	LYLY1_2A000021	LYLY1_2A000021T1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LYLY1_2A000025	LYLY1_2A000025	LYLY1_2A000025T2	protein_coding	0	0	0	100	4	0	1	8	0	81	0	0	0	0	0	0	0	0	0	6
LYLY1_2A000027	LYLY1_2A000027	LYLY1_2A000027T1	protein_coding	0	1	1	52	1	0	2	6	0	38	1	0	0	0	0	0	0	0	1	5
LYLY1_2A000028	LYLY1_2A000028	LYLY1_2A000028T1	protein_coding	0	0	0	4	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
LYLY1_2A000029	LYLY1_2A000029	LYLY1_2A000029T1	protein_coding	0	0	0	7	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000030	LYLY1_2A000030	LYLY1_2A000030T1	protein_coding	0	1	0	107	0	0	0	2	0	95	0	0	0	0	0	0	0	0	1	10
LYLY1_2A000031	LYLY1_2A000031	LYLY1_2A000031T1	protein_coding	0	1	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0
